room_type,price,minimum_nights,neighborhood_id,host_id,listing_name,listing_id
Entire home/apt,128,30,129,48005494,1BR Apartment in Seattle,51731627
Entire home/apt,133,30,107,48005494,1BR Apartment in Seattle's Interbay,33804169
Entire home/apt,120,1,117,140421,1BR Daylight Apartment  - 2 Blocks to Green Lake,19384198
Entire home/apt,121,30,132,10396357,1BR Queen Anne unit with a bathroom to die for,38962977
Entire home/apt,218,30,106,171175671,2 B 2B Brand New High-rise Condo  Downtown Seattle,48641900
Entire home/apt,139,30,135,3074414,"2 Baths W/D ,  Nice View,  Quiet, TWalk  UW (402)",4484426
Entire home/apt,110,3,104,89042696,"2 bd 2 ba house, centrally located",15365615
Entire home/apt,159,60,106,42157539,2 BD Top Floor Waterfront Home - Great View,7987854
Entire home/apt,137,2,132,109645574,2 Bdrm Heart of the city. Decks w/ gorgeous views!,44164238
Entire home/apt,167,2,132,109645574,2 Bdrm Home in the Heart of Seattle- WITH A VIEW!,41819596
Entire home/apt,258,3,104,5741615,"2 Bdrm Modern Cap Hill, 10m to downtown, w/Parking",48468491
Entire home/apt,185,30,109,1543665,2 bed 2 bath Historic log Cabin Waterfront Estate,584165754297551000
Entire home/apt,150,2,117,11299221,2 bed Greenlake Apt- low season monthly rates,2215336
Entire home/apt,199,2,102,162159097,2 Bedroom Capitol Hill w/ Parking Spot!,31243526
Entire home/apt,130,30,105,387457933,2 bedroom family styled home. Longterm lease only,48059347
Entire home/apt,132,3,133,22510386,"2 Bedroom Home 5 Minutes from ID, Capitol Hill",47447202
Entire home/apt,229,3,106,263945439,2 Bedroom Penthouse Downtown Seattle,51773448
Entire home/apt,143,28,132,71220324,2 Bedroom Queen Anne Condo,53689614
Entire home/apt,126,2,133,13621927,2 Bedroom Seattle Duplex for Families and Pets,7342445
Private room,90,2,130,41118081,2 Bedroom Suite in Northeast Seattle Wedgwood,18508910
Private room,49,1,133,123468144,2 Beds Quiet & Cozy Private Room close to Downtown,53663673
Entire home/apt,130,1,102,63157637,"2 BR apartment, easy subway, free parking",12011079
